dataset,algorithm,train_acc_mean,train_reject_mean,train_grader_kappa_mean,test_acc_mean,test_reject_mean,test_grader_kappa_mean
htru,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99993063,0.03327622,0.61633901,0.98831908,0.04450790,0.21715084
haber,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.88103585,0.24213412,0.34418881,0.79890733,0.25107527,0.15724586
brst-c,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.98205334,0.43760989,0.07465685,0.76628499,0.38454545,0.00913485
heart-f,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99258733,0.14299849,0.79267646,0.84932012,0.10156322,0.09768735
iono,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99945359,0.07907494,0.76868960,0.92445800,0.08204762,0.20523663
cerv-c,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99735994,0.16297596,0.12246075,0.87823810,0.13321429,0.06715217
rice,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99788668,0.11540974,0.66247927,0.95924810,0.14309711,0.27554640
churn,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99768810,0.06965079,0.56951598,0.96957856,0.06641270,0.41970472
taiwan,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99977372,0.04844961,0.45096392,0.98334308,0.05000741,0.30816968
letter,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99774392,0.15970000,0.54149226,0.97309159,0.16563000,0.55288024
drybean,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99498020,0.12305405,0.63999898,0.96231243,0.14057760,0.44930454
droid,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99305581,0.09110791,0.42910973,0.98406751,0.09114275,0.36374867
page,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99814951,0.03252739,0.61647322,0.98219344,0.04005051,0.36886068
sepsis,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.96852250,0.48538762,0.08906570,0.96380207,0.48510525,0.07922083
raisin,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99758855,0.15987654,0.76143880,0.90405213,0.16333333,0.24130444
matern,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.93641855,0.26865921,0.28731567,0.88254551,0.32091827,0.23719671
survey,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.98800732,0.15431695,0.90679538,0.86734854,0.11773244,0.15400524
aids,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99445069,0.11516282,0.79907188,0.90842453,0.08013119,0.17817461
cdc-d,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.95284196,0.21989751,0.43100582,0.91586683,0.22372753,0.24615016
spam,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.98979124,0.09633655,0.38386337,0.95843649,0.10058663,0.26867301
sp-hrt,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99621125,0.21488589,0.71604084,0.86085190,0.19199430,0.25225074
bench,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99460189,0.36278132,0.03852093,0.84684017,0.35995238,0.09052151
gamma,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.98474904,0.20507185,0.47607170,0.91484090,0.23683491,0.23932348
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99962324,0.06522173,0.23204176,0.96107272,0.08466165,0.24071237
parkns,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99934761,0.14404481,0.03908979,0.92746762,0.14468421,0.20558873
blood,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.92631594,0.23811518,0.47945307,0.81665447,0.26852973,0.10049753
car,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99818155,0.01855700,0.80458189,0.98202904,0.02558005,0.67683332
vertebr,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99953406,0.22838710,0.27928969,0.89793981,0.25096774,0.30093268
bank,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99988557,0.00864914,0.48695444,0.99359701,0.02274410,0.36974693
diabet,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.93179722,0.47311710,0.23388764,0.74087180,0.45276762,0.10496185
htru,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99978795,0.04601756,0.49320480,0.98779746,0.07827674,0.14716251
haber,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.95582679,0.27902082,0.58354165,0.77231782,0.30606452,0.07838269
brst-c,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.98776730,0.46344689,0.07366935,0.80521429,0.45939394,0.00881147
heart-f,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99790275,0.14678425,0.81951918,0.84983229,0.19678161,0.09147720
iono,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99979286,0.08097428,0.76395739,0.92042920,0.15792063,0.10812542
cerv-c,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99841382,0.16851442,0.12756165,0.88466667,0.17642857,0.15229446
rice,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99932222,0.11298338,0.70840724,0.96125265,0.18346457,0.23871014
churn,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99796044,0.07314286,0.54445411,0.97057993,0.08336508,0.38936072
taiwan,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99986293,0.04833880,0.43842750,0.98200937,0.06962906,0.23613428
letter,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99781041,0.15815444,0.54064337,0.97521079,0.16703000,0.54957551
drybean,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99763944,0.13193901,0.60560856,0.96354612,0.16942145,0.38291316
droid,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99745277,0.18443413,0.22588395,0.98791544,0.19047454,0.19566219
page,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99825540,0.03434231,0.58326474,0.98362589,0.05415665,0.32486546
sepsis,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.96953764,0.48830525,0.09023496,0.96378017,0.48801258,0.07826431
raisin,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99869013,0.16535802,0.75383930,0.90484617,0.22288889,0.20893513
matern,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.95350178,0.27538554,0.31898473,0.89962489,0.34145991,0.25614199
survey,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99263005,0.16288168,0.89575133,0.86556400,0.20298091,0.11131447
aids,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99833798,0.11453946,0.82085307,0.91255353,0.15268264,0.15339993
cdc-d,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.95263168,0.27799608,0.36923479,0.91361033,0.29824976,0.20248243
spam,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99515495,0.10575987,0.35254208,0.95904629,0.13135980,0.22298438
sp-hrt,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99864908,0.19675346,0.75607379,0.84218725,0.25344729,0.17326362
