dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
891,3x5_Dynamic_Binary_Deep,0.86947896,0.70506894,0.29493106,0.00000000,0.41173268,0.86652870,0.68291233,0.31708767,0.00000000,0.24768716
94,3x5_Dynamic_Binary_Deep,0.98928252,0.74819962,0.25180038,0.00000000,0.39249396,0.94805461,0.72388673,0.27611327,0.00000000,0.29393105
96,3x5_Dynamic_Binary_Deep,0.97211791,0.75805429,0.24194571,0.00000000,0.88574722,0.80284900,0.71908832,0.28091168,0.00000000,0.27995990
151,3x5_Dynamic_Double_AR_Deep,0.99909716,0.16925304,0.40147969,0.42926727,0.02679955,0.85875455,0.17504762,0.37652381,0.44842857,0.05978429
17,3x5_Dynamic_Double_AR_Deep,1.00000000,0.77668388,0.12767041,0.09564571,0.17712174,0.97259572,0.71176065,0.15964286,0.12859649,0.24437693
174,3x5_Dynamic_Double_AR_Deep,0.99971913,0.43498636,0.36067078,0.20434286,0.02661547,0.94033249,0.42305263,0.33784211,0.23910526,0.17703183
176,3x5_Dynamic_Double_AR_Deep,0.89540658,0.65062284,0.05692550,0.29245166,0.29703819,0.85552709,0.63632072,0.05559279,0.30808649,0.17765833
19,3x5_Dynamic_Double_AR_Deep,0.99947121,0.78647022,0.16526581,0.04826397,0.64101727,0.99213069,0.77430636,0.16272281,0.06297083,0.58833245
212,3x5_Dynamic_Double_AR_Deep,0.99949970,0.53462366,0.17397849,0.29139785,0.20000452,0.92560784,0.49161290,0.19096774,0.31741935,0.30204698
267,3x5_Dynamic_Double_AR_Deep,0.99998358,0.85633017,0.12397416,0.01969567,0.34813215,0.99396587,0.81838570,0.14327621,0.03833809,0.28739185
329,3x5_Dynamic_Double_AR_Deep,0.99437273,0.14779466,0.13972350,0.71248184,0.11396714,0.79057259,0.13867016,0.17862669,0.68270315,0.07411629
43,3x5_Dynamic_Double_AR_Deep,0.88730343,0.57842688,0.10936074,0.31221238,0.29016897,0.82077862,0.56316129,0.11516129,0.32167742,0.16590394
451,3x5_Dynamic_Double_AR_Deep,0.99055978,0.15959890,0.25348901,0.58691209,0.03976228,0.78017460,0.12227273,0.30833333,0.56939394,-0.00002193
519,3x5_Dynamic_Double_AR_Deep,0.99711780,0.69654633,0.02341181,0.28004186,0.46205827,0.88226115,0.58926437,0.11085057,0.29988506,0.13060924
52,3x5_Dynamic_Double_AR_Deep,0.99984902,0.79734760,0.04045228,0.16220012,0.45133877,0.94866044,0.67012698,0.10207937,0.22779365,0.18895887
537,3x5_Dynamic_Double_AR_Deep,0.99962264,0.43080769,0.30344231,0.26575000,0.06827779,0.88547619,0.35821429,0.37571429,0.26607143,0.02379377
545,3x5_Dynamic_Double_AR_Deep,0.99884904,0.83089530,0.02867308,0.14043161,0.58008251,0.96599421,0.75049869,0.05727034,0.19223097,0.25768854
